"year","workstat","prestige","income","region","attend","owngun","tvhours","mothfath16","black","female","unem10","DivWid","kids","vhappy"
"1994","working fulltime",64,"$25000 or more","middle atlantic",6,"NA",0,TRUE,FALSE,TRUE,"no","no",2,"no"
"1994","keeping house",59,"$25000 or more","middle atlantic",1,"iap",3,FALSE,FALSE,TRUE,"NA","no",2,"yes"
"1994","working parttime",46,"$25000 or more","middle atlantic",0,"iap",2,TRUE,FALSE,FALSE,"NA","no",0,"no"
"1994","working parttime",47,"$10000 - 14999","middle atlantic",104,"iap",3,FALSE,FALSE,FALSE,"NA","NA",0,"no"
"1994","working parttime",74,"$25000 or more","middle atlantic",0,"iap",2.2,TRUE,FALSE,FALSE,"no","NA",0,"no"
"1994","working fulltime",44,"$25000 or more","middle atlantic",0,"iap",4,TRUE,FALSE,FALSE,"NA","NA",0,"no"
"1994","working fulltime",74,"$25000 or more","middle atlantic",0,"NA",1,TRUE,FALSE,FALSE,"no","NA",0,"no"
"1994","working fulltime",44,"$25000 or more","middle atlantic",0,"iap",4,FALSE,FALSE,FALSE,"NA","yes",0,"no"
"1994","working fulltime",64,"$25000 or more","middle atlantic",30,"iap",2,FALSE,TRUE,TRUE,"NA","NA",1,"no"
"1994","keeping house",41,"$8000 to 9999","middle atlantic",0.5,"NA",2,FALSE,TRUE,TRUE,"no","yes",0,"no"
"1994","working fulltime",42,"$25000 or more","middle atlantic",0.5,"NA",2,FALSE,FALSE,FALSE,"yes","NA",0,"no"
"1994","keeping house",24,"$6000 to 6999","middle atlantic",30,"iap",4,TRUE,TRUE,TRUE,"NA","NA",3,"no"
"1994","keeping house",28,"$1000 to 2999","middle atlantic",52,"NA",7,TRUE,TRUE,TRUE,"yes","NA",0,"no"
"1994","keeping house",60,"$25000 or more","middle atlantic",0.5,"iap",2,FALSE,FALSE,TRUE,"NA","no",2,"no"
"1994","working fulltime",44,"$25000 or more","middle atlantic",6,"iap",2,TRUE,FALSE,TRUE,"no","no",0,"no"
"1994","working fulltime",65,"$25000 or more","middle atlantic",0.5,"iap",1,TRUE,FALSE,FALSE,"NA","NA",0,"no"
"1994","other",32,"$5000 to 5999","middle atlantic",0,"iap",1.8,TRUE,FALSE,FALSE,"no","NA",0,"no"
"1994","working parttime",58,"$25000 or more","middle atlantic",0,"iap",1.2,TRUE,FALSE,TRUE,"yes","yes",0,"no"
"1994","working fulltime",51,"$25000 or more","middle atlantic",6,"NA",1,FALSE,FALSE,FALSE,"no","NA",0,"no"
"1994","keeping house",59,"$25000 or more","middle atlantic",12,"NA",4,FALSE,FALSE,TRUE,"no","no",1,"yes"
"1994","working fulltime",64,"$25000 or more","middle atlantic",52,"NA",3,TRUE,FALSE,TRUE,"no","NA",0,"no"
"1994","unempl, laid off",47,"$25000 or more","middle atlantic",0,"iap",2,FALSE,FALSE,TRUE,"NA","NA",1,"no"
"1994","retired",60,"$25000 or more","middle atlantic",0,"iap",2.6,FALSE,FALSE,TRUE,"no","NA",0,"no"
"1994","working fulltime",25,"$15000 - 19999","middle atlantic",6,"iap",2,TRUE,FALSE,TRUE,"NA","NA",0,"yes"
"1994","keeping house",29,"$15000 - 19999","middle atlantic",6,"iap",3,TRUE,TRUE,TRUE,"NA","NA",2,"no"
"1994","school",29,"$3000 to 3999","middle atlantic",1,"iap",2,FALSE,TRUE,FALSE,"NA","NA",0,"no"
"1994","keeping house",29,"$15000 - 19999","middle atlantic",6,"NA",2,FALSE,TRUE,TRUE,"no","NA",3,"no"
"1994","keeping house",52,"$1000 to 2999","middle atlantic",1,"iap",4.4,FALSE,TRUE,TRUE,"yes","NA",0,"no"
"1994","keeping house",46,"$10000 - 14999","middle atlantic",6,"iap",6,TRUE,TRUE,TRUE,"no","NA",1,"no"
"1994","working fulltime",42,"$25000 or more","middle atlantic",52,"NA",2,TRUE,TRUE,FALSE,"no","NA",0,"no"
"1994","retired",50,"$15000 - 19999","middle atlantic",30,"iap",3,TRUE,TRUE,FALSE,"NA","NA",0,"no"
"1994","keeping house",33,"$25000 or more","middle atlantic",52,"iap",2,TRUE,FALSE,TRUE,"NA","no",2,"no"
"1994","working fulltime",51,"$25000 or more","middle atlantic",30,"NA",6,TRUE,FALSE,TRUE,"no","NA",0,"no"
"1994","working fulltime",31,"$25000 or more","middle atlantic",1,"iap",1.2,TRUE,FALSE,FALSE,"no","no",2,"yes"
"1994","working fulltime",30,"$25000 or more","middle atlantic",52,"NA",2,TRUE,FALSE,FALSE,"yes","yes",1,"yes"
"1994","working fulltime",45,"$25000 or more","middle atlantic",0.5,"iap",4,TRUE,FALSE,FALSE,"NA","yes",0,"no"
"1994","working fulltime",64,"$25000 or more","middle atlantic",1,"NA",1,FALSE,FALSE,TRUE,"no","yes",3,"yes"
"1994","working fulltime",22,"$25000 or more","middle atlantic",0,"iap",5,TRUE,FALSE,FALSE,"NA","no",1,"no"
"1994","working fulltime",17,"$25000 or more","middle atlantic",42,"iap",1,FALSE,FALSE,FALSE,"NA","NA",0,"no"
"1994","working fulltime",41,"$25000 or more","middle atlantic",1,"iap",3,FALSE,TRUE,TRUE,"NA","yes",0,"no"
"1994","retired",40,"$25000 or more","middle atlantic",104,"iap",2.6,TRUE,TRUE,FALSE,"no","no",0,"no"
"1994","working fulltime",40,"$25000 or more","middle atlantic",0.5,"iap",2,TRUE,TRUE,FALSE,"NA","yes",0,"no"
"1994","working fulltime",42,"$25000 or more","middle atlantic",52,"NA",2,TRUE,TRUE,TRUE,"no","NA",0,"yes"
"1994","other",37,"$15000 - 19999","middle atlantic",12,"NA",5,TRUE,FALSE,FALSE,"no","yes",3,"no"
"1994","keeping house",31,"$8000 to 9999","middle atlantic",12,"iap",2.8,TRUE,FALSE,TRUE,"NA","no",2,"no"
"1994","working fulltime",21,"$10000 - 14999","middle atlantic",6,"iap",1.8,TRUE,FALSE,FALSE,"no","no",2,"yes"
"1994","working parttime",36,"$8000 to 9999","middle atlantic",0,"NA",4,TRUE,TRUE,TRUE,"no","NA",2,"no"
"1994","working parttime",17,"$5000 to 5999","middle atlantic",30,"iap",5.2,FALSE,TRUE,TRUE,"no","NA",4,"no"
"1994","retired",49,"$15000 - 19999","middle atlantic",0.5,"iap",2,TRUE,FALSE,FALSE,"no","NA",0,"no"
"1994","working fulltime",61,"$25000 or more","new england",52,"yes",1,FALSE,FALSE,FALSE,"NA","yes",1,"yes"
"1994","working fulltime",75,"$25000 or more","new england",6,"iap",2,FALSE,FALSE,FALSE,"NA","no",2,"no"
"1994","retired",50,"$25000 or more","new england",52,"iap",1,FALSE,FALSE,FALSE,"NA","no",0,"yes"
"1994","working fulltime",86,"$25000 or more","new england",1,"yes",0,FALSE,FALSE,TRUE,"NA","no",0,"no"
"1994","working parttime",23,"$8000 to 9999","new england",52,"iap",1,TRUE,FALSE,TRUE,"NA","NA",0,"no"
"1994","retired",47,"$15000 - 19999","new england",52,"iap",2,FALSE,FALSE,FALSE,"NA","NA",0,"yes"
"1994","working fulltime",32,"$25000 or more","middle atlantic",6,"NA",2,TRUE,FALSE,FALSE,"no","no",2,"no"
"1994","temp not working",66,"$15000 - 19999","middle atlantic",52,"iap",3.4,TRUE,TRUE,TRUE,"yes","NA",0,"no"
"1994","keeping house",48,"$25000 or more","middle atlantic",6,"iap",2.8,FALSE,FALSE,TRUE,"no","no",3,"yes"
"1994","retired",53,"$25000 or more","middle atlantic",52,"NA",1,TRUE,FALSE,FALSE,"no","no",0,"yes"
"1994","working parttime",23,"$25000 or more","middle atlantic",12,"NA",2,TRUE,FALSE,TRUE,"no","yes",1,"yes"
"1994","keeping house",23,"$7000 to 7999","middle atlantic",52,"iap",4.2,FALSE,FALSE,TRUE,"no","NA",0,"no"
"1994","keeping house",46,"$25000 or more","middle atlantic",1,"iap",3,TRUE,FALSE,TRUE,"yes","no",2,"yes"
"1994","retired",42,"$10000 - 14999","middle atlantic",0.5,"iap",4,FALSE,FALSE,TRUE,"no","NA",0,"no"
"1994","working fulltime",64,"$25000 or more","middle atlantic",12,"iap",1,TRUE,FALSE,TRUE,"NA","yes",0,"no"
"1994","working fulltime",64,"$25000 or more","middle atlantic",0.5,"NA",1,TRUE,FALSE,TRUE,"no","yes",0,"no"
"1994","working fulltime",73,"$25000 or more","middle atlantic",52,"NA",3,TRUE,FALSE,FALSE,"no","no",2,"no"
"1994","keeping house",34,"$25000 or more","middle atlantic",6,"NA",3,TRUE,FALSE,TRUE,"no","no",0,"no"
"1994","working fulltime",51,"$25000 or more","middle atlantic",42,"NA",4,TRUE,FALSE,TRUE,"no","NA",1,"no"
"1994","keeping house",47,"$15000 - 19999","middle atlantic",6,"NA",4,FALSE,FALSE,TRUE,"yes","no",3,"no"
"1994","keeping house",47,"$15000 - 19999","middle atlantic",42,"iap",4.8,TRUE,TRUE,TRUE,"yes","NA",1,"no"
"1994","working fulltime",52,"$25000 or more","middle atlantic",30,"iap",2.4,FALSE,TRUE,TRUE,"no","NA",0,"no"
"1994","working fulltime",52,"$15000 - 19999","middle atlantic",52,"iap",2.6,FALSE,TRUE,TRUE,"no","NA",0,"no"
"1994","keeping house",42,"$25000 or more","middle atlantic",30,"NA",1,TRUE,TRUE,TRUE,"no","no",5,"yes"
"1994","working fulltime",65,"$25000 or more","middle atlantic",104,"iap",3,TRUE,TRUE,TRUE,"NA","yes",1,"yes"
"1994","working fulltime",44,"$25000 or more","middle atlantic",6,"iap",2.6,TRUE,TRUE,TRUE,"yes","NA",1,"no"
"1994","working fulltime",46,"$25000 or more","middle atlantic",52,"iap",1.4,TRUE,TRUE,TRUE,"no","no",2,"no"
"1994","temp not working",24,"$25000 or more","middle atlantic",30,"NA",5,FALSE,TRUE,TRUE,"no","NA",4,"no"
"1994","temp not working",32,"$20000 - 24999","middle atlantic",1,"iap",6,FALSE,TRUE,TRUE,"NA","no",0,"no"
"1994","school",66,"$25000 or more","middle atlantic",0.5,"NA",6,TRUE,FALSE,TRUE,"no","no",0,"no"
"1994","school",47,"$4000 to 4999","middle atlantic",0,"NA",0,TRUE,FALSE,FALSE,"no","NA",0,"yes"
"1994","retired",74,"$25000 or more","middle atlantic",0,"iap",1,TRUE,FALSE,FALSE,"NA","no",0,"no"
"1994","working fulltime",49,"$25000 or more","middle atlantic",0,"iap",2.4,TRUE,FALSE,FALSE,"yes","NA",0,"yes"
"1994","working fulltime",51,"$25000 or more","middle atlantic",0,"NA",3,TRUE,TRUE,FALSE,"yes","no",0,"no"
"1994","working fulltime",86,"$20000 - 24999","middle atlantic",1,"iap",0,FALSE,FALSE,FALSE,"NA","NA",0,"no"
"1994","working fulltime",22,"$15000 - 19999","middle atlantic",0.5,"iap",2.8,FALSE,FALSE,FALSE,"no","yes",0,"yes"
"1994","working fulltime",27,"$20000 - 24999","middle atlantic",0.5,"yes",8,FALSE,FALSE,FALSE,"NA","NA",0,"yes"
"1994","working fulltime",51,"$25000 or more","middle atlantic",52,"iap",2,FALSE,FALSE,FALSE,"NA","NA",0,"no"
"1994","working fulltime",40,"$25000 or more","middle atlantic",0,"iap",2,TRUE,FALSE,FALSE,"NA","yes",0,"no"
"1994","working fulltime",46,"$25000 or more","middle atlantic",1,"yes",3,TRUE,FALSE,FALSE,"NA","no",0,"yes"
"1994","unempl, laid off",43,"$15000 - 19999","middle atlantic",0,"iap",3.6,TRUE,FALSE,TRUE,"yes","no",0,"no"
"1994","working fulltime",64,"$25000 or more","middle atlantic",0,"NA",1,TRUE,FALSE,FALSE,"no","yes",1,"no"
"1994","working fulltime",48,"$25000 or more","middle atlantic",12,"NA",2,FALSE,FALSE,TRUE,"no","NA",0,"yes"
"1994","working fulltime",44,"$25000 or more","middle atlantic",6,"iap",1.2,TRUE,FALSE,FALSE,"no","no",1,"no"
"1994","working fulltime",49,"$25000 or more","middle atlantic",52,"NA",2,TRUE,FALSE,FALSE,"yes","NA",0,"no"
"1994","working fulltime",44,"$25000 or more","middle atlantic",0,"NA",2,TRUE,FALSE,FALSE,"no","no",3,"yes"
"1994","working parttime",33,"$25000 or more","middle atlantic",42,"iap",2,TRUE,FALSE,FALSE,"no","yes",4,"yes"
"1994","working fulltime",42,"$25000 or more","middle atlantic",6,"iap",2,FALSE,FALSE,TRUE,"NA","no",2,"yes"
"1994","working fulltime",41,"$25000 or more","middle atlantic",104,"iap",2.4,FALSE,TRUE,TRUE,"yes","no",2,"no"
"1994","retired",30,"$25000 or more","middle atlantic",0.5,"iap",5,FALSE,TRUE,FALSE,"NA","no",1,"no"
"1994","working fulltime",68,"$25000 or more","middle atlantic",30,"iap",3,TRUE,TRUE,FALSE,"NA","no",1,"yes"
"1994","working fulltime",30,"$25000 or more","middle atlantic",6,"iap",2,FALSE,FALSE,FALSE,"yes","NA",1,"no"
"1994","working parttime",42,"$8000 to 9999","middle atlantic",42,"iap",3.4,FALSE,TRUE,TRUE,"yes","NA",0,"no"
"1994","working fulltime",40,"$10000 - 14999","middle atlantic",1,"iap",4,FALSE,TRUE,TRUE,"NA","NA",0,"no"
"1994","working fulltime",35,"$25000 or more","middle atlantic",52,"iap",3,FALSE,TRUE,FALSE,"NA","no",0,"no"
"1994","working fulltime",33,"$15000 - 19999","middle atlantic",6,"iap",1.8,FALSE,FALSE,TRUE,"yes","NA",2,"no"
"1994","working fulltime",47,"$25000 or more","middle atlantic",1,"NA",2,TRUE,FALSE,FALSE,"yes","no",0,"no"
"1994","working fulltime",75,"$25000 or more","middle atlantic",6,"iap",1.4,TRUE,FALSE,FALSE,"no","no",0,"yes"
"1994","retired",66,"$25000 or more","middle atlantic",52,"iap",3,TRUE,TRUE,TRUE,"NA","no",0,"no"
"1994","unempl, laid off",33,"$25000 or more","middle atlantic",12,"NA",6,FALSE,TRUE,TRUE,"yes","NA",2,"yes"
"1994","temp not working",40,"$25000 or more","middle atlantic",0,"NA",1,TRUE,FALSE,TRUE,"no","NA",0,"no"
"1994","working fulltime",40,"$25000 or more","middle atlantic",6,"yes",2.4,FALSE,TRUE,FALSE,"no","no",2,"no"
"1994","working fulltime",38,"$25000 or more","middle atlantic",30,"yes",3.6,TRUE,TRUE,FALSE,"no","no",1,"no"
"1994","keeping house",52,"$25000 or more","middle atlantic",52,"NA",4,FALSE,TRUE,TRUE,"no","no",1,"no"
"1994","retired",60,"$25000 or more","middle atlantic",30,"iap",3,FALSE,TRUE,TRUE,"no","NA",2,"no"
"1994","working fulltime",64,"$25000 or more","middle atlantic",30,"yes",3,TRUE,TRUE,TRUE,"NA","yes",0,"no"
"1994","unempl, laid off",31,"$10000 - 14999","middle atlantic",0,"iap",6,FALSE,TRUE,FALSE,"NA","NA",0,"no"
"1994","working fulltime",42,"$25000 or more","middle atlantic",30,"iap",3.2,TRUE,TRUE,FALSE,"no","no",1,"no"
"1994","working fulltime",40,"$25000 or more","middle atlantic",12,"iap",4,FALSE,TRUE,TRUE,"NA","no",1,"no"
"1994","working parttime",53,"$25000 or more","middle atlantic",6,"iap",1.4,TRUE,FALSE,TRUE,"no","no",2,"no"
"1994","working fulltime",53,"$25000 or more","middle atlantic",6,"NA",1,TRUE,FALSE,FALSE,"no","no",1,"no"
"1994","working fulltime",65,"$25000 or more","middle atlantic",52,"NA",1,FALSE,FALSE,FALSE,"no","no",4,"yes"
"1994","working fulltime",51,"$25000 or more","middle atlantic",52,"iap",1,TRUE,FALSE,FALSE,"NA","no",1,"no"
"1994","working fulltime",34,"$25000 or more","middle atlantic",42,"iap",1,TRUE,FALSE,FALSE,"NA","no",1,"no"
"1994","working parttime",35,"$25000 or more","middle atlantic",30,"yes",3.2,TRUE,FALSE,TRUE,"no","no",0,"no"
"1994","working fulltime",42,"$25000 or more","middle atlantic",6,"NA",2,TRUE,FALSE,FALSE,"no","yes",1,"yes"
"1994","working fulltime",49,"$25000 or more","middle atlantic",30,"NA",3,TRUE,FALSE,FALSE,"no","no",0,"no"
"1994","working parttime",46,"$25000 or more","middle atlantic",6,"NA",2,TRUE,FALSE,TRUE,"no","no",2,"yes"
"1994","working fulltime",66,"$25000 or more","middle atlantic",52,"iap",1.4,TRUE,FALSE,FALSE,"no","no",2,"no"
"1994","working fulltime",42,"$25000 or more","middle atlantic",30,"yes",1,TRUE,FALSE,TRUE,"NA","no",3,"no"
"1994","working fulltime",86,"$25000 or more","middle atlantic",52,"iap",1.8,TRUE,FALSE,FALSE,"no","NA",0,"no"
"1994","working fulltime",44,"$25000 or more","middle atlantic",6,"yes",1,FALSE,TRUE,FALSE,"NA","yes",0,"no"
"1994","working parttime",52,"$25000 or more","middle atlantic",6,"iap",1.4,TRUE,FALSE,TRUE,"no","no",2,"no"
"1994","working fulltime",44,"$25000 or more","middle atlantic",30,"NA",4,TRUE,FALSE,TRUE,"no","no",0,"no"
"1994","retired",42,"$25000 or more","middle atlantic",52,"iap",3,FALSE,FALSE,FALSE,"NA","no",0,"no"
"1994","retired",36,"$25000 or more","middle atlantic",52,"NA",2,TRUE,FALSE,TRUE,"no","yes",0,"no"
"1994","keeping house",23,"$25000 or more","middle atlantic",6,"yes",1,TRUE,FALSE,TRUE,"NA","no",2,"yes"
"1994","working parttime",43,"$25000 or more","middle atlantic",6,"yes",2.2,TRUE,FALSE,TRUE,"yes","no",2,"no"
"1994","working fulltime",32,"$25000 or more","middle atlantic",6,"iap",1.4,TRUE,FALSE,FALSE,"no","no",1,"yes"
"1994","keeping house",40,"$20000 - 24999","middle atlantic",1,"iap",4,TRUE,FALSE,TRUE,"NA","no",0,"no"
"1994","working fulltime",51,"$25000 or more","middle atlantic",104,"iap",1,TRUE,FALSE,TRUE,"NA","NA",0,"no"
"1994","working fulltime",74,"$25000 or more","middle atlantic",52,"iap",2.8,TRUE,FALSE,TRUE,"no","NA",2,"yes"
"1994","working fulltime",36,"$25000 or more","middle atlantic",6,"iap",3.2,TRUE,FALSE,TRUE,"no","NA",0,"no"
"1994","working fulltime",51,"$25000 or more","middle atlantic",52,"NA",4,TRUE,FALSE,TRUE,"no","NA",0,"no"
"1994","working fulltime",51,"$25000 or more","middle atlantic",0,"iap",2.4,TRUE,FALSE,FALSE,"no","NA",0,"no"
"1994","working fulltime",42,"$25000 or more","middle atlantic",1,"iap",1.2,TRUE,FALSE,FALSE,"no","no",4,"no"
"1994","working fulltime",75,"$25000 or more","middle atlantic",52,"iap",1,TRUE,FALSE,FALSE,"NA","no",2,"no"
"1994","retired",66,"$25000 or more","middle atlantic",52,"NA",2,FALSE,FALSE,TRUE,"no","NA",1,"no"
"1994","working fulltime",61,"$25000 or more","middle atlantic",6,"iap",1,TRUE,FALSE,TRUE,"NA","no",1,"no"
"1994","working fulltime",49,"$25000 or more","middle atlantic",12,"iap",1,TRUE,FALSE,TRUE,"NA","no",0,"yes"
"1994","retired",47,"$15000 - 19999","middle atlantic",52,"iap",1,TRUE,FALSE,TRUE,"NA","NA",0,"no"
"1994","retired",51,"$25000 or more","pacific",1,"NA",4,FALSE,FALSE,FALSE,"NA","yes",0,"yes"
"1994","temp not working",64,"$25000 or more","pacific",0.5,"iap",1,TRUE,FALSE,FALSE,"NA","yes",1,"yes"
"1994","working fulltime",51,"$25000 or more","pacific",1,"NA",3,TRUE,FALSE,FALSE,"no","no",0,"yes"
"1994","keeping house",46,"$25000 or more","pacific",1,"NA",4,FALSE,FALSE,TRUE,"no","yes",0,"no"
"1994","working fulltime",31,"$25000 or more","pacific",0,"yes",3.4,FALSE,FALSE,FALSE,"no","yes",0,"yes"
"1994","working fulltime",49,"$25000 or more","pacific",1,"NA",1,TRUE,FALSE,TRUE,"no","no",0,"no"
"1994","working fulltime",61,"$25000 or more","pacific",1,"iap",1,FALSE,FALSE,FALSE,"NA","no",0,"no"
"1994","working fulltime",71,"$25000 or more","pacific",12,"yes",1,FALSE,TRUE,TRUE,"NA","NA",0,"no"
"1994","other",38,"$25000 or more","pacific",42,"NA",4,TRUE,FALSE,FALSE,"no","no",3,"no"
"1994","working fulltime",47,"$25000 or more","pacific",0.5,"iap",4,TRUE,FALSE,FALSE,"NA","NA",1,"no"
"1994","working fulltime",49,"$25000 or more","pacific",52,"iap",2.2,TRUE,FALSE,FALSE,"no","no",2,"yes"
"1994","working fulltime",46,"$25000 or more","pacific",52,"iap",2,TRUE,FALSE,TRUE,"NA","no",0,"yes"
"1994","working fulltime",51,"$25000 or more","pacific",0,"yes",2,TRUE,FALSE,FALSE,"no","no",2,"no"
"1994","working fulltime",49,"$25000 or more","pacific",12,"iap",1,FALSE,FALSE,TRUE,"NA","no",2,"no"
"1994","working parttime",25,"$25000 or more","pacific",1,"NA",4,TRUE,FALSE,TRUE,"no","no",1,"yes"
"1994","working fulltime",45,"$25000 or more","pacific",16.4,"NA",2,TRUE,FALSE,FALSE,"no","no",2,"no"
"1994","working fulltime",36,"$25000 or more","pacific",6,"iap",0.8,FALSE,FALSE,TRUE,"no","NA",2,"no"
"1994","working fulltime",51,"$25000 or more","pacific",0.5,"yes",2,TRUE,FALSE,FALSE,"NA","no",0,"no"
"1994","working fulltime",34,"$25000 or more","pacific",0,"NA",3,TRUE,FALSE,FALSE,"yes","NA",0,"no"
"1994","working fulltime",50,"$25000 or more","pacific",52,"yes",1,TRUE,FALSE,TRUE,"NA","NA",0,"yes"
"1994","retired",34,"$15000 - 19999","pacific",0.5,"NA",4,TRUE,FALSE,FALSE,"no","yes",0,"no"
"1994","working fulltime",66,"$25000 or more","pacific",52,"yes",1,TRUE,FALSE,TRUE,"NA","NA",1,"yes"
"1994","working fulltime",57,"$15000 - 19999","pacific",6,"iap",2.8,TRUE,FALSE,TRUE,"yes","no",0,"no"
"1994","working parttime",29,"$25000 or more","pacific",52,"iap",0,TRUE,FALSE,TRUE,"NA","NA",1,"no"
"1994","retired",46,"$25000 or more","pacific",52,"NA",3,TRUE,FALSE,TRUE,"no","NA",0,"no"
"1994","working parttime",27,"$25000 or more","pacific",6,"iap",2.4,TRUE,FALSE,FALSE,"yes","NA",2,"no"
"1994","working fulltime",39,"$25000 or more","pacific",1,"NA",3,TRUE,FALSE,FALSE,"yes","yes",0,"yes"
"1994","retired",49,"$20000 - 24999","pacific",6,"iap",2.2,TRUE,FALSE,FALSE,"no","NA",0,"no"
"1994","working fulltime",22,"$20000 - 24999","pacific",1,"NA",8,TRUE,FALSE,TRUE,"no","yes",0,"no"
"1994","keeping house",73,"$20000 - 24999","pacific",6,"iap",3.8,TRUE,FALSE,TRUE,"no","NA",0,"no"
"1994","retired",58,"$25000 or more","pacific",1,"NA",4,TRUE,FALSE,FALSE,"yes","no",0,"yes"
"1994","working parttime",46,"$25000 or more","pacific",52,"iap",0,FALSE,FALSE,TRUE,"NA","no",1,"no"
"1994","working fulltime",49,"$25000 or more","pacific",1,"NA",3,TRUE,FALSE,TRUE,"no","no",0,"yes"
"1994","working fulltime",51,"$25000 or more","pacific",30,"iap",2,TRUE,FALSE,FALSE,"NA","no",3,"no"
"1994","working parttime",52,"$25000 or more","pacific",52,"NA",4,TRUE,FALSE,TRUE,"no","no",0,"no"
"1994","working fulltime",66,"$25000 or more","pacific",0,"NA",1,FALSE,FALSE,TRUE,"no","no",0,"no"
"1994","working fulltime",65,"$25000 or more","pacific",30,"NA",1,TRUE,FALSE,TRUE,"yes","no",2,"no"
"1994","unempl, laid off",59,"$25000 or more","pacific",1,"iap",3,FALSE,FALSE,FALSE,"NA","NA",0,"no"
"1994","retired",66,"$20000 - 24999","pacific",6,"iap",4.6,TRUE,FALSE,TRUE,"no","NA",0,"no"
"1994","working parttime",51,"$25000 or more","pacific",12,"yes",2.4,TRUE,FALSE,TRUE,"no","NA",0,"no"
"1994","working fulltime",65,"$20000 - 24999","pacific",0,"NA",5,FALSE,TRUE,TRUE,"yes","NA",1,"no"
"1994","working fulltime",52,"$25000 or more","pacific",52,"NA",4,TRUE,FALSE,TRUE,"yes","no",0,"no"
"1994","working fulltime",21,"$10000 - 14999","pacific",6,"iap",4,FALSE,FALSE,TRUE,"NA","yes",0,"yes"
"1994","working fulltime",52,"$25000 or more","pacific",12,"NA",2,FALSE,FALSE,FALSE,"no","NA",0,"no"
"1994","keeping house",63,"$7000 to 7999","pacific",1,"iap",2,TRUE,FALSE,TRUE,"NA","no",1,"no"
"1994","retired",34,"$25000 or more","pacific",0,"NA",5,TRUE,FALSE,FALSE,"no","no",0,"yes"
"1994","working parttime",45,"$25000 or more","pacific",1,"NA",1,TRUE,FALSE,FALSE,"yes","no",0,"no"
"1994","working fulltime",52,"$25000 or more","pacific",0,"iap",1.4,TRUE,FALSE,TRUE,"no","NA",0,"yes"
"1994","working fulltime",64,"$25000 or more","pacific",12,"iap",2,TRUE,FALSE,FALSE,"NA","NA",0,"yes"
"1994","working fulltime",36,"$25000 or more","pacific",0,"iap",1.2,TRUE,FALSE,TRUE,"no","NA",0,"no"
"1994","working fulltime",46,"$25000 or more","pacific",1,"iap",2,TRUE,FALSE,TRUE,"NA","NA",0,"no"
"1994","working parttime",34,"$25000 or more","pacific",1,"yes",3.4,TRUE,FALSE,TRUE,"yes","yes",1,"no"
"1994","school",46,"$1000 to 2999","pacific",52,"iap",2,TRUE,FALSE,TRUE,"no","NA",0,"no"
"1994","working fulltime",46,"$20000 - 24999","pacific",52,"iap",2.8,TRUE,FALSE,TRUE,"no","NA",2,"no"
"1994","working fulltime",47,"$25000 or more","pacific",6,"iap",1.2,FALSE,FALSE,TRUE,"yes","NA",1,"no"
"1994","working parttime",27,"$3000 to 3999","pacific",52,"iap",1,TRUE,FALSE,TRUE,"NA","NA",0,"yes"
"1994","working fulltime",35,"$25000 or more","pacific",52,"NA",2,TRUE,FALSE,TRUE,"no","no",1,"no"
"1994","keeping house",51,"$25000 or more","pacific",52,"NA",4,TRUE,FALSE,TRUE,"no","no",0,"no"
"1994","working fulltime",44,"$25000 or more","pacific",0,"iap",2,TRUE,FALSE,TRUE,"NA","yes",0,"yes"
